EEG 001"	"FP1"
EEG 002"	"FPz"
EEG 003"	"FP2"
EEG 004"	"AF7"
EEG 005"	"AF3"
EEG 006"	"AFz"
EEG 007"	"AF4"
EEG 008"	"AF8"
EEG 009"	"F7"
EEG 010"	"F5"
EEG 011"	"F3"
EEG 012"	"F1"
EEG 013"	"Fz"
EEG 014"	"F2"
EEG 015"	"F4"
EEG 016"	"F6"
EEG 017"	"F8"
EEG 018"	"FT9"
EEG 019"	"FT7"
EEG 020"	"FC5"
EEG 021"	"FC3"
EEG 022"	"FC1"
EEG 023"	"FCz"
EEG 024"	"FC2"
EEG 025"	"FC4"
EEG 026"	"FC6"
EEG 027"	"FT8"
EEG 028"	"FT10"
EEG 029"	"T9"
EEG 030"	"T7"
EEG 031"	"C5"
EEG 032"	"C3"
EEG 033"	"C1"
EEG 034"	"Cz"
EEG 035"	"C2"
EEG 036"	"C4"
EEG 037"	"C6"
EEG 038"	"T8"
EEG 039"	"T10"
EEG 040"	"TP9"
EEG 041"	"TP7"
EEG 042"	"CP5"
EEG 043"	"CP3"
EEG 044"	"CP1"
EEG 045"	"CPz"
EEG 046"	"CP2"
EEG 047"	"CP4"
EEG 048"	"CP6"
EEG 049"	"TP8"
EEG 050"	"TP10"
EEG 051"	"P9"
EEG 052"	"P7"
EEG 053"	"P5"
EEG 054"	"P3"
EEG 055"	"P1"
EEG 056"	"Pz"
EEG 057"	"P2"
EEG 058"	"P4"
EEG 059"	"P6"
EEG 060"	"P8"
EOG 061"	"EOG1"
EOG 062"	"EOG2"
ECG 063"	"ECG"
EMG 064"	"EMG"
EEG 065"	"P10"
EEG 066"	"PO7"
EEG 067"	"PO3"
EEG 068"	"POz"
EEG 069"	"PO4"
EEG 070"	"PO8"
EEG 071"	"O1"
EEG 072"	"Oz"
EEG 073"	"O2"
EEG 074"	"Iz"
